batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,deepgemm_stage1_us,moreh_v2_us,moreh_v7_us,speedup_v2_deepgemm,speedup_v7_deepgemm,speedup_v7_vs_v2
8,1,32,128,1152,0.1111111111111111,10.4,70.6,4.6,4.5,2.25x,2.32x,1.03x
8,1,32,128,2176,0.058823529411764705,10.2,65.6,4.7,4.5,2.17x,2.27x,1.05x
8,1,32,128,4224,0.030303030303030304,10.3,67.1,5.3,5.2,1.96x,1.97x,1.01x
8,1,32,128,8320,0.015384615384615385,10.6,69.2,7.0,6.8,1.52x,1.56x,1.03x
8,1,32,128,16512,0.007751937984496124,13.7,75.4,13.9,13.7,0.99x,1.00x,1.02x
8,1,32,128,32896,0.0038910505836575876,27.7,91.8,22.6,18.6,1.23x,1.49x,1.21x
8,1,32,128,65664,0.001949317738791423,56.2,119.6,39.8,32.1,1.41x,1.75x,1.24x
16,1,32,128,1152,0.1111111111111111,10.2,122.2,4.7,4.6,2.17x,2.19x,1.01x
16,1,32,128,2176,0.058823529411764705,10.4,118.4,4.9,4.8,2.12x,2.15x,1.01x
16,1,32,128,4224,0.030303030303030304,10.7,119.2,6.4,6.0,1.66x,1.77x,1.07x
16,1,32,128,8320,0.015384615384615385,14.0,124.9,10.6,9.4,1.31x,1.48x,1.13x
16,1,32,128,16512,0.007751937984496124,28.2,142.6,17.6,16.8,1.60x,1.68x,1.05x
16,1,32,128,32896,0.0038910505836575876,54.5,171.3,30.3,30.3,1.80x,1.80x,1.00x
16,1,32,128,65664,0.001949317738791423,101.4,223.6,55.7,55.6,1.82x,1.82x,1.00x
20,1,32,128,1152,0.1111111111111111,10.3,141.0,4.9,4.9,2.10x,2.11x,1.00x
20,1,32,128,2176,0.058823529411764705,10.4,141.0,6.0,5.9,1.75x,1.76x,1.01x
20,1,32,128,4224,0.030303030303030304,13.1,147.5,8.1,7.3,1.61x,1.79x,1.11x
20,1,32,128,8320,0.015384615384615385,24.5,163.3,12.9,11.5,1.89x,2.13x,1.12x
20,1,32,128,16512,0.007751937984496124,37.5,179.6,20.3,19.0,1.85x,1.98x,1.07x
20,1,32,128,32896,0.0038910505836575876,66.9,211.8,33.9,30.1,1.97x,2.22x,1.13x
20,1,32,128,65664,0.001949317738791423,128.4,270.2,68.2,64.9,1.88x,1.98x,1.05x
