,batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,deepgemm_stage1_us,moreh_us,speedup_deepgemm,speedup_stage1
0,1,1,32,128,512,0.5,8.6,18.6,9.3,0.92x,2.00x
1,1,1,32,128,1024,0.25,8.3,16.4,10.2,0.82x,1.61x
2,1,1,32,128,2048,0.125,8.3,16.5,9.6,0.86x,1.71x
3,1,1,32,128,4096,0.0625,8.4,16.5,9.3,0.90x,1.77x
4,1,1,32,128,8192,0.03125,8.4,16.6,9.5,0.88x,1.74x
5,1,1,32,128,16384,0.015625,8.4,17.0,9.7,0.87x,1.75x
6,1,1,32,128,32768,0.0078125,8.5,18.3,9.8,0.87x,1.87x
7,1,1,32,128,65536,0.00390625,8.8,20.0,11.4,0.77x,1.76x
8,1,2,32,128,512,0.5,8.4,25.7,8.9,0.94x,2.90x
9,1,2,32,128,1024,0.25,8.5,24.0,8.7,0.98x,2.76x
10,1,2,32,128,2048,0.125,8.6,24.1,8.7,0.98x,2.76x
11,1,2,32,128,4096,0.0625,8.5,24.4,9.0,0.95x,2.72x
12,1,2,32,128,8192,0.03125,8.5,25.0,9.8,0.87x,2.56x
13,1,2,32,128,16384,0.015625,8.6,28.6,11.0,0.79x,2.60x
14,1,2,32,128,32768,0.0078125,9.0,27.1,13.7,0.66x,1.99x
15,1,2,32,128,65536,0.00390625,12.7,33.2,19.7,0.64x,1.68x
16,2,1,32,128,512,0.5,8.6,26.6,8.7,0.99x,3.05x
17,2,1,32,128,1024,0.25,8.4,23.9,8.5,0.99x,2.80x
18,2,1,32,128,2048,0.125,8.4,24.1,8.5,0.99x,2.83x
19,2,1,32,128,4096,0.0625,8.5,24.4,8.7,0.98x,2.82x
20,2,1,32,128,8192,0.03125,8.6,25.0,8.8,0.98x,2.84x
21,2,1,32,128,16384,0.015625,8.7,26.0,12.0,0.72x,2.16x
22,2,1,32,128,32768,0.0078125,9.0,27.3,13.3,0.67x,2.05x
23,2,1,32,128,65536,0.00390625,12.7,33.4,16.9,0.75x,1.98x
24,2,2,32,128,512,0.5,8.7,40.2,9.0,0.97x,4.49x
25,2,2,32,128,1024,0.25,8.6,35.3,9.1,0.95x,3.89x
26,2,2,32,128,2048,0.125,8.7,35.7,8.9,0.97x,3.99x
27,2,2,32,128,4096,0.0625,8.7,36.2,9.1,0.96x,4.00x
28,2,2,32,128,8192,0.03125,8.9,37.5,10.3,0.87x,3.65x
29,2,2,32,128,16384,0.015625,9.2,39.1,14.4,0.64x,2.72x
30,2,2,32,128,32768,0.0078125,13.1,45.0,18.4,0.71x,2.45x
31,2,2,32,128,65536,0.00390625,29.3,60.4,25.7,1.14x,2.35x
32,3,1,32,128,512,0.5,8.6,33.3,8.9,0.97x,3.75x
33,3,1,32,128,1024,0.25,8.6,30.4,8.8,0.98x,3.43x
34,3,1,32,128,2048,0.125,8.7,30.8,9.1,0.96x,3.38x
35,3,1,32,128,4096,0.0625,8.7,31.3,9.0,0.97x,3.47x
36,3,1,32,128,8192,0.03125,8.8,32.2,12.3,0.71x,2.61x
37,3,1,32,128,16384,0.015625,8.9,33.4,13.4,0.67x,2.50x
38,3,1,32,128,32768,0.0078125,11.8,39.4,14.7,0.80x,2.67x
39,3,1,32,128,65536,0.00390625,26.0,52.8,21.6,1.21x,2.45x
40,3,2,32,128,512,0.5,10.0,55.0,9.4,1.06x,5.83x
41,3,2,32,128,1024,0.25,9.8,47.9,9.4,1.04x,5.10x
42,3,2,32,128,2048,0.125,9.8,49.0,9.4,1.04x,5.20x
43,3,2,32,128,4096,0.0625,9.8,50.7,11.8,0.83x,4.29x
44,3,2,32,128,8192,0.03125,9.9,52.6,12.7,0.78x,4.13x
45,3,2,32,128,16384,0.015625,12.2,58.4,14.8,0.82x,3.96x
46,3,2,32,128,32768,0.0078125,26.2,73.2,22.5,1.16x,3.25x
47,3,2,32,128,65536,0.00390625,43.7,90.1,32.0,1.36x,2.81x
48,4,1,32,128,512,0.5,9.6,39.8,9.5,1.01x,4.19x
49,4,1,32,128,1024,0.25,9.3,35.1,9.6,0.97x,3.64x
50,4,1,32,128,2048,0.125,9.6,35.5,9.6,1.00x,3.69x
51,4,1,32,128,4096,0.0625,9.6,36.2,9.7,0.99x,3.73x
52,4,1,32,128,8192,0.03125,9.7,37.6,9.7,1.00x,3.90x
53,4,1,32,128,16384,0.015625,10.0,39.2,12.3,0.82x,3.20x
54,4,1,32,128,32768,0.0078125,13.0,44.8,15.6,0.83x,2.88x
55,4,1,32,128,65536,0.00390625,29.3,60.0,24.1,1.21x,2.49x
56,4,2,32,128,512,0.5,9.1,69.2,9.2,0.99x,7.49x
57,4,2,32,128,1024,0.25,9.2,62.9,8.9,1.04x,7.05x
58,4,2,32,128,2048,0.125,9.3,70.6,9.3,1.00x,7.61x
59,4,2,32,128,4096,0.0625,9.3,63.9,11.4,0.82x,5.60x
60,4,2,32,128,8192,0.03125,9.6,65.9,12.6,0.76x,5.22x
61,4,2,32,128,16384,0.015625,13.2,74.1,18.5,0.71x,4.01x
62,4,2,32,128,32768,0.0078125,29.3,88.8,25.1,1.17x,3.54x
63,4,2,32,128,65536,0.00390625,56.9,117.4,37.8,1.50x,3.11x
64,5,1,32,128,512,0.5,9.3,47.2,8.9,1.05x,5.31x
65,5,1,32,128,1024,0.25,9.2,42.0,8.9,1.03x,4.72x
66,5,1,32,128,2048,0.125,9.2,42.7,8.7,1.06x,4.91x
67,5,1,32,128,4096,0.0625,9.3,43.7,8.7,1.07x,5.01x
68,5,1,32,128,8192,0.03125,9.4,45.0,11.0,0.86x,4.10x
69,5,1,32,128,16384,0.015625,11.6,50.7,16.1,0.72x,3.14x
70,5,1,32,128,32768,0.0078125,24.8,65.2,18.6,1.33x,3.50x
71,5,1,32,128,65536,0.00390625,40.4,80.2,25.5,1.59x,3.15x
72,5,2,32,128,512,0.5,9.4,77.0,9.7,0.98x,7.96x
73,5,2,32,128,1024,0.25,9.1,73.0,9.7,0.94x,7.55x
74,5,2,32,128,2048,0.125,9.3,74.1,11.9,0.78x,6.23x
75,5,2,32,128,4096,0.0625,9.5,76.7,14.7,0.64x,5.23x
76,5,2,32,128,8192,0.03125,11.4,81.9,16.5,0.69x,4.97x
77,5,2,32,128,16384,0.015625,24.5,97.7,20.3,1.21x,4.82x
78,5,2,32,128,32768,0.0078125,40.6,111.5,29.3,1.38x,3.80x
79,5,2,32,128,65536,0.00390625,69.2,140.8,43.9,1.58x,3.21x
80,6,1,32,128,512,0.5,9.3,53.8,9.2,1.01x,5.86x
81,6,1,32,128,1024,0.25,8.9,47.7,9.3,0.96x,5.13x
82,6,1,32,128,2048,0.125,9.1,49.2,9.2,0.99x,5.33x
83,6,1,32,128,4096,0.0625,9.2,50.8,9.7,0.95x,5.23x
84,6,1,32,128,8192,0.03125,9.2,52.4,11.6,0.79x,4.50x
85,6,1,32,128,16384,0.015625,11.5,58.4,15.1,0.76x,3.87x
86,6,1,32,128,32768,0.0078125,26.3,72.6,20.9,1.26x,3.48x
87,6,1,32,128,65536,0.00390625,43.1,89.3,30.2,1.42x,2.95x
88,6,2,32,128,512,0.5,9.5,92.3,10.2,0.93x,9.02x
89,6,2,32,128,1024,0.25,9.2,89.2,10.0,0.92x,8.91x
90,6,2,32,128,2048,0.125,9.3,89.4,12.6,0.74x,7.09x
91,6,2,32,128,4096,0.0625,9.5,90.3,15.0,0.63x,6.04x
92,6,2,32,128,8192,0.03125,11.9,96.7,17.4,0.68x,5.55x
93,6,2,32,128,16384,0.015625,26.3,111.7,23.3,1.13x,4.80x
