batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,9.0,11.6,0.774,"[(2, 64, -1, 11), (8, 128, 280, 12), (8, 128, 416, 12), (8, 128, 480, 12), (8, 128, 368, 12), (8, 128, 464, 12), (8, 128, 288, 12), (8, 128, 456, 12), (2, 64, 944, 12), (4, 64, 632, 12)]",,,
1,2,32,128,65536,0.00390625,14.2,14.9,0.959,"[(8, 128, 392, 14), (8, 128, 368, 14), (8, 128, 344, 14), (8, 128, 360, 14), (8, 128, 336, 14), (8, 128, 168, 15), (8, 128, 160, 15), (8, 128, 184, 16), (8, 128, 264, 16), (8, 128, 416, 16)]",,,
2,1,32,128,65536,0.00390625,13.1,16.5,0.792,"[(8, 128, -1, 16), (8, 128, 336, 16), (8, 128, 392, 16), (8, 128, 312, 16), (8, 128, 360, 16), (8, 128, 416, 16), (8, 128, 304, 16), (8, 128, 320, 16), (8, 128, 440, 16), (8, 128, 464, 16)]",,,
2,2,32,128,65536,0.00390625,32.4,22.5,1.438,"[(8, 128, 168, 22), (8, 128, 160, 22), (4, 64, 160, 23), (4, 64, 168, 23), (4, 64, 136, 24), (4, 64, 120, 25), (4, 64, 128, 25), (4, 64, 112, 26), (4, 64, 104, 26), (4, 64, 216, 26)]",,,
3,1,32,128,65536,0.00390625,28.2,19.0,1.485,"[(4, 128, 208, 19), (4, 128, 224, 19), (4, 128, 216, 19), (8, 64, 304, 19), (8, 256, 104, 20), (8, 64, 440, 20), (8, 64, 408, 20), (8, 128, 256, 22), (8, 128, 224, 22), (8, 128, 248, 22)]",,,
3,2,32,128,65536,0.00390625,46.6,30.0,1.556,"[(8, 64, 152, 29), (8, 64, 160, 30), (8, 64, 192, 31), (8, 64, 176, 31), (8, 128, 96, 32), (4, 64, 128, 33), (4, 128, 88, 33), (8, 64, 136, 33), (8, 64, 144, 33), (4, 64, 96, 33)]",,,
4,1,32,128,65536,0.00390625,32.3,26.8,1.204,"[(4, 64, 240, 26), (8, 128, 144, 26), (4, 64, 208, 26), (8, 128, 152, 26), (8, 128, -1, 26), (4, 64, 232, 26), (4, 64, 152, 27), (4, 128, 288, 27), (4, 128, 264, 27), (8, 128, 168, 27)]",,,
4,2,32,128,65536,0.00390625,58.3,36.9,1.578,"[(4, 128, 72, 36), (4, 128, 64, 37), (4, 64, 120, 39), (8, 128, 72, 39), (8, 128, 80, 39), (4, 64, 136, 39), (4, 64, 144, 39), (4, 64, 104, 39), (4, 128, 80, 39), (4, 64, 96, 40)]",,,
5,1,32,128,65536,0.00390625,42.9,23.8,1.807,"[(8, 128, 112, 23), (8, 128, 128, 23), (8, 64, 104, 24), (8, 64, 128, 26), (8, 128, 96, 26), (8, 128, 88, 26), (4, 64, 224, 26), (4, 64, 216, 26), (4, 64, 232, 26), (8, 128, 120, 27)]",,,
5,2,32,128,65536,0.00390625,68.2,42.5,1.603,"[(8, 128, 64, 42), (8, 128, -1, 43), (8, 64, -1, 43), (4, 64, 112, 43), (8, 128, 48, 43), (4, 64, 104, 43), (4, 128, 64, 43), (4, 128, -1, 44), (8, 64, 112, 44), (2, 64, 104, 44)]",,,
