batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,9.0,11.6,0.774,2,64,-1
1,2,32,128,65536,0.00390625,14.2,14.9,0.959,8,128,392
2,1,32,128,65536,0.00390625,13.1,16.5,0.792,8,128,-1
2,2,32,128,65536,0.00390625,32.4,22.5,1.438,8,128,168
3,1,32,128,65536,0.00390625,28.2,19.0,1.485,4,128,208
3,2,32,128,65536,0.00390625,46.6,30.0,1.556,8,64,152
4,1,32,128,65536,0.00390625,32.3,26.8,1.204,4,64,240
4,2,32,128,65536,0.00390625,58.3,36.9,1.578,4,128,72
5,1,32,128,65536,0.00390625,42.9,23.8,1.807,8,128,112
5,2,32,128,65536,0.00390625,68.2,42.5,1.603,8,128,64
6,1,32,128,65536,0.00390625,45.1,29.6,1.522,8,64,144
6,2,32,128,65536,0.00390625,78.7,48.3,1.632,2,64,96
7,1,32,128,65536,0.00390625,48.8,32.0,1.524,8,64,144
7,2,32,128,65536,0.00390625,91.1,53.2,1.713,4,64,72
8,1,32,128,65536,0.00390625,57.7,35.2,1.637,8,128,80
8,2,32,128,65536,0.00390625,99.3,48.4,2.051,4,64,72
9,1,32,128,65536,0.00390625,62.9,33.8,1.863,8,128,64
9,2,32,128,65536,0.00390625,136.6,63.6,2.148,8,128,24
10,1,32,128,65536,0.00390625,63.6,42.9,1.484,8,128,56
10,2,32,128,65536,0.00390625,113.2,67.0,1.689,8,128,-1
11,1,32,128,65536,0.00390625,73.4,39.6,1.853,4,64,80
11,2,32,128,65536,0.00390625,166.9,68.0,2.454,4,64,40
12,1,32,128,65536,0.00390625,83.8,51.4,1.63,4,64,64
12,2,32,128,65536,0.00390625,166.7,84.4,1.975,8,128,24
13,1,32,128,65536,0.00390625,85.0,49.4,1.719,8,128,104
13,2,32,128,65536,0.00390625,177.0,81.1,2.182,8,64,-1
14,1,32,128,65536,0.00390625,91.7,49.6,1.847,8,128,40
14,2,32,128,65536,0.00390625,169.1,85.9,1.968,4,64,40
15,1,32,128,65536,0.00390625,96.3,45.6,2.113,4,64,80
15,2,32,128,65536,0.00390625,176.3,92.5,1.905,8,64,24
16,1,32,128,65536,0.00390625,103.9,61.1,1.702,4,64,48
16,2,32,128,65536,0.00390625,211.9,81.2,2.61,8,64,32
