batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,num_warp,chunkK,splitK
17,1,32,128,65536,0.00390625,133.0,52.6,8,128,64
17,2,32,128,65536,0.00390625,238.7,103.8,4,64,72
18,1,32,128,65536,0.00390625,131.7,58.8,8,128,56
18,2,32,128,65536,0.00390625,240.8,105.0,4,64,32
19,1,32,128,65536,0.00390625,137.9,60.5,4,64,176
19,2,32,128,65536,0.00390625,249.0,113.0,8,64,40
20,1,32,128,65536,0.00390625,119.4,65.4,4,64,56
20,2,32,128,65536,0.00390625,242.5,111.5,8,64,-1
21,1,32,128,65536,0.00390625,133.0,58.9,4,64,112
21,2,32,128,65536,0.00390625,254.6,118.8,4,64,48
22,1,32,128,65536,0.00390625,157.8,61.0,4,64,40
22,2,32,128,65536,0.00390625,260.3,125.3,4,64,-1
23,1,32,128,65536,0.00390625,400.1,67.0,4,64,80
23,2,32,128,65536,0.00390625,283.4,127.3,4,64,40
24,1,32,128,65536,0.00390625,168.2,78.9,4,128,24
24,2,32,128,65536,0.00390625,282.2,105.3,8,64,24
25,1,32,128,65536,0.00390625,172.5,68.8,8,128,64
25,2,32,128,65536,0.00390625,304.8,139.8,4,128,24
26,1,32,128,65536,0.00390625,157.2,82.6,8,64,-1
26,2,32,128,65536,0.00390625,308.3,162.2,2,64,40
27,1,32,128,65536,0.00390625,176.2,74.3,8,64,80
27,2,32,128,65536,0.00390625,322.1,138.7,4,64,40
28,1,32,128,65536,0.00390625,159.3,87.8,8,128,-1
28,2,32,128,65536,0.00390625,318.4,169.9,4,128,-1
29,1,32,128,65536,0.00390625,170.8,78.1,4,64,104
29,2,32,128,65536,0.00390625,325.2,181.2,4,64,16
30,1,32,128,65536,0.00390625,169.9,77.2,8,128,40
30,2,32,128,65536,0.00390625,330.5,183.4,2,64,40
31,1,32,128,65536,0.00390625,214.7,93.5,4,64,144
31,2,32,128,65536,0.00390625,437.4,176.5,4,64,40
32,1,32,128,65536,0.00390625,211.9,105.7,8,64,16
32,2,32,128,65536,0.00390625,434.2,136.1,4,64,16
