batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,8.8,12.0,0.727,8,128,328
1,2,32,128,65536,0.00390625,12.9,13.6,0.948,4,64,496
2,1,32,128,65536,0.00390625,14.2,15.0,0.947,8,128,312
2,2,32,128,65536,0.00390625,27.4,25.2,1.087,2,64,-1
3,1,32,128,65536,0.00390625,28.5,19.6,1.453,8,128,-1
3,2,32,128,65536,0.00390625,46.6,29.3,1.591,8,128,96
4,1,32,128,65536,0.00390625,31.8,23.2,1.367,8,64,216
4,2,32,128,65536,0.00390625,53.7,36.2,1.482,8,64,112
5,1,32,128,65536,0.00390625,39.7,25.9,1.535,4,128,-1
5,2,32,128,65536,0.00390625,69.8,42.5,1.641,4,64,-1
6,1,32,128,65536,0.00390625,46.8,31.4,1.489,4,64,376
6,2,32,128,65536,0.00390625,79.7,52.1,1.529,8,64,-1
7,1,32,128,65536,0.00390625,49.0,32.4,1.511,4,64,144
7,2,32,128,65536,0.00390625,89.6,52.1,1.721,4,64,72
8,1,32,128,65536,0.00390625,56.2,36.1,1.557,2,64,104
8,2,32,128,65536,0.00390625,100.5,48.4,2.079,4,64,56
9,1,32,128,65536,0.00390625,58.3,33.6,1.738,8,128,64
9,2,32,128,65536,0.00390625,137.7,61.7,2.23,4,128,24
10,1,32,128,65536,0.00390625,62.9,38.0,1.655,8,256,32
10,2,32,128,65536,0.00390625,111.1,69.8,1.592,8,128,-1
11,1,32,128,65536,0.00390625,72.8,39.6,1.836,4,64,80
11,2,32,128,65536,0.00390625,166.3,67.6,2.461,4,64,40
12,1,32,128,65536,0.00390625,82.2,51.4,1.6,4,64,-1
12,2,32,128,65536,0.00390625,167.2,86.5,1.934,4,64,24
13,1,32,128,65536,0.00390625,82.8,49.1,1.688,8,128,120
13,2,32,128,65536,0.00390625,176.6,84.8,2.083,4,64,96
14,1,32,128,65536,0.00390625,90.8,45.1,2.015,4,128,40
14,2,32,128,65536,0.00390625,169.7,91.7,1.85,2,64,40
15,1,32,128,65536,0.00390625,95.3,47.3,2.016,8,64,80
15,2,32,128,65536,0.00390625,178.0,84.1,2.117,2,64,40
16,1,32,128,65536,0.00390625,101.1,62.6,1.616,8,128,32
16,2,32,128,65536,0.00390625,214.9,76.5,2.808,4,64,32
