batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,10.8,9.2,1.17,"[(2, 64, -1, 9), (4, 64, 768, 10), (2, 64, 320, 10), (8, 128, 336, 11), (8, 128, 480, 11), (8, 128, 384, 11), (8, 128, 296, 11), (8, 128, 312, 11), (8, 128, 424, 11), (8, 128, 408, 11)]",,,
1,2,32,128,65536,0.00390625,12.0,14.2,0.847,"[(8, 128, 432, 14), (8, 128, 440, 14), (4, 64, 360, 16), (4, 64, 312, 16), (8, 128, 160, 16), (4, 64, 304, 16), (4, 64, 664, 16), (4, 64, 512, 16), (4, 128, 192, 16), (8, 128, 336, 16)]",,,
2,1,32,128,65536,0.00390625,11.9,14.5,0.824,"[(8, 256, 248, 14), (8, 128, 264, 14), (8, 128, 416, 14), (4, 128, 296, 15), (8, 128, 400, 15), (8, 128, 192, 15), (8, 128, 504, 16), (8, 128, 288, 16), (8, 128, 352, 16), (8, 128, 424, 16)]",,,
2,2,32,128,65536,0.00390625,30.7,24.4,1.256,"[(4, 64, 904, 24), (4, 64, 896, 24), (2, 64, -1, 24), (4, 64, 1008, 25), (4, 128, 408, 25), (4, 64, 912, 26), (8, 128, -1, 26), (8, 128, 152, 26), (4, 64, 216, 26), (4, 128, 400, 26)]",,,
3,1,32,128,65536,0.00390625,28.0,20.7,1.351,"[(8, 64, 136, 20), (4, 128, 208, 21), (2, 64, -1, 21), (8, 128, 200, 22), (8, 128, 248, 22), (8, 128, 224, 22), (8, 128, 216, 22), (8, 128, 208, 22), (8, 128, 256, 22), (4, 64, 272, 22)]",,,
3,2,32,128,65536,0.00390625,46.8,30.9,1.518,"[(4, 64, -1, 30), (2, 64, -1, 31), (4, 64, 352, 31), (8, 128, 96, 31), (8, 128, 48, 31), (8, 64, 160, 31), (4, 64, 168, 32), (4, 64, 336, 32), (2, 64, 128, 32), (4, 64, 136, 32)]",,,
4,1,32,128,65536,0.00390625,31.9,24.7,1.292,"[(2, 64, -1, 24), (8, 128, 160, 25), (4, 64, 152, 26), (8, 128, 144, 27), (4, 64, 248, 27), (4, 64, 224, 27), (4, 64, -1, 27), (8, 128, 136, 27), (8, 256, 200, 27), (4, 64, 144, 27)]",,,
4,2,32,128,65536,0.00390625,59.3,37.1,1.598,"[(4, 64, 136, 37), (2, 64, -1, 38), (8, 64, 144, 38), (8, 128, 80, 39), (8, 128, 72, 40), (4, 128, 72, 40), (4, 64, 88, 40), (4, 64, -1, 40), (2, 64, 104, 40), (4, 64, 128, 40)]",,,
5,1,32,128,65536,0.00390625,42.9,26.8,1.603,"[(8, 128, 96, 26), (8, 128, 112, 26), (8, 128, -1, 26), (8, 128, 104, 27), (8, 128, 128, 27), (8, 128, 120, 27), (4, 128, -1, 27), (2, 64, -1, 27), (4, 64, 112, 27), (4, 128, 112, 27)]",,,
5,2,32,128,65536,0.00390625,71.1,42.7,1.668,"[(8, 128, -1, 42), (8, 64, -1, 43), (2, 64, -1, 43), (4, 128, 64, 43), (8, 128, 64, 43), (4, 64, -1, 43), (8, 128, 48, 43), (8, 64, 56, 44), (4, 128, -1, 44), (4, 64, 56, 44)]",,,
6,1,32,128,65536,0.00390625,43.2,28.1,1.536,"[(8, 128, 88, 28), (8, 128, 80, 29), (8, 64, 168, 30), (8, 64, 72, 31), (8, 128, 96, 31), (2, 64, -1, 31), (8, 64, 176, 31), (8, 128, 168, 31), (8, 128, 208, 31), (8, 128, 176, 32)]",,,
6,2,32,128,65536,0.00390625,81.7,48.6,1.681,"[(8, 64, 64, 48), (4, 64, 96, 49), (8, 64, 72, 50), (2, 64, -1, 50), (4, 64, 64, 50), (4, 64, -1, 52), (8, 64, 80, 52), (4, 64, 48, 52), (2, 64, 72, 52), (4, 64, 56, 52)]",,,
7,1,32,128,65536,0.00390625,47.7,32.7,1.458,"[(8, 64, 128, 32), (8, 128, 88, 32), (8, 128, 64, 33), (8, 64, 112, 33), (4, 64, 184, 34), (2, 64, -1, 34), (8, 64, 192, 34), (8, 64, 184, 34), (4, 64, 88, 34), (4, 64, 80, 34)]",,,
7,2,32,128,65536,0.00390625,89.2,49.5,1.801,"[(4, 64, 64, 49), (4, 64, 288, 52), (4, 64, 280, 52), (4, 64, 72, 53), (2, 64, 64, 54), (8, 64, 64, 54), (4, 64, 216, 55), (4, 64, 264, 55), (4, 64, 336, 55), (4, 64, 248, 55)]",,,
8,1,32,128,65536,0.00390625,56.5,38.0,1.489,"[(4, 64, 456, 37), (4, 64, 488, 38), (4, 64, 384, 38), (2, 64, -1, 38), (4, 64, 376, 38), (4, 64, 496, 38), (8, 64, 72, 39), (4, 64, 88, 40), (2, 64, 112, 40), (4, 64, 120, 40)]",,,
8,2,32,128,65536,0.00390625,97.5,46.9,2.077,"[(4, 64, 56, 46), (4, 64, 64, 47), (4, 64, 72, 47), (8, 128, 32, 48), (8, 64, 56, 48), (4, 64, 48, 48), (2, 64, 72, 49), (8, 64, 72, 49), (2, 64, 56, 50), (4, 64, 136, 50)]",,,
