batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,9.0,12.3,0.734,"[(8, 128, 496, 12), (8, 128, 328, 12), (8, 128, 464, 12), (8, 128, 456, 12), (8, 128, 416, 12), (8, 128, 376, 12), (4, 64, 840, 12), (4, 64, 760, 12), (8, 128, 472, 12), (4, 64, 736, 12)]",,,
1,2,32,128,65536,0.00390625,12.0,12.8,0.942,"[(8, 128, 384, 12), (8, 128, 368, 13), (2, 64, 984, 16), (4, 128, 512, 16), (4, 128, 496, 16), (4, 128, 488, 16), (2, 64, 976, 16), (8, 128, 264, 16), (8, 128, 280, 16), (8, 128, 448, 16)]",,,
2,1,32,128,65536,0.00390625,14.3,16.6,0.866,"[(4, 64, 880, 16), (4, 64, 888, 16), (4, 64, 768, 16), (4, 64, 400, 17), (8, 128, 336, 17), (4, 64, 992, 17), (4, 64, 904, 17), (4, 64, 528, 17), (4, 64, 984, 17), (4, 64, 592, 17)]",,,
2,2,32,128,65536,0.00390625,30.9,23.5,1.318,"[(8, 64, 168, 23), (8, 64, 152, 23), (8, 64, 160, 23), (4, 64, 480, 24), (4, 64, 344, 24), (4, 64, 328, 24), (8, 64, 176, 24), (2, 64, 480, 25), (4, 64, 224, 25), (4, 64, 248, 25)]",,,
3,1,32,128,65536,0.00390625,28.4,20.5,1.383,"[(8, 128, 368, 20), (8, 128, 360, 20), (8, 128, 352, 20), (8, 64, 280, 20), (8, 64, 224, 21), (8, 64, 248, 21), (8, 128, 224, 23), (4, 64, 296, 23), (4, 64, 280, 23), (8, 128, 256, 23)]",,,
3,2,32,128,65536,0.00390625,43.5,31.3,1.391,"[(8, 64, 200, 31), (2, 64, 240, 31), (4, 64, 168, 33), (4, 64, 120, 33), (4, 64, 152, 33), (8, 128, 96, 33), (8, 128, 88, 33), (4, 64, 128, 34), (8, 64, -1, 34), (8, 64, 168, 34)]",,,
4,1,32,128,65536,0.00390625,30.9,23.9,1.293,"[(8, 64, 208, 23), (8, 128, 384, 26), (8, 128, 264, 26), (8, 128, 376, 26), (8, 128, 400, 26), (8, 64, 104, 26), (8, 128, 392, 26), (4, 64, 880, 26), (4, 64, 736, 26), (8, 128, 152, 27)]",,,
4,2,32,128,65536,0.00390625,59.3,38.7,1.532,"[(4, 64, 512, 38), (4, 64, 136, 40), (8, 64, 72, 40), (4, 64, 160, 40), (4, 64, 96, 40), (4, 64, 112, 40), (8, 128, 64, 40), (4, 64, 680, 40), (8, 128, 80, 40), (8, 128, -1, 40)]",,,
5,1,32,128,65536,0.00390625,40.8,27.4,1.486,"[(8, 64, 200, 27), (4, 64, 288, 27), (4, 64, 280, 27), (4, 64, 272, 27), (8, 128, 104, 28), (8, 128, -1, 28), (8, 128, 112, 28), (8, 64, 208, 28), (8, 64, 216, 28), (8, 128, 120, 28)]",,,
5,2,32,128,65536,0.00390625,69.4,42.1,1.647,"[(4, 64, 120, 42), (4, 64, 128, 42), (4, 64, 112, 42), (4, 64, 136, 43), (8, 64, 56, 43), (8, 64, -1, 44), (8, 128, -1, 44), (8, 128, 64, 44), (8, 64, 88, 45), (4, 64, 88, 46)]",,,
6,1,32,128,65536,0.00390625,46.7,29.6,1.581,"[(4, 64, 120, 29), (4, 64, 104, 29), (4, 64, 96, 30), (4, 64, 88, 30), (4, 64, 80, 32), (8, 128, 96, 33), (4, 64, 152, 33), (4, 64, 168, 33), (8, 128, -1, 33), (4, 64, 136, 33)]",,,
6,2,32,128,65536,0.00390625,81.6,51.5,1.586,"[(8, 128, 40, 51), (8, 64, 72, 51), (4, 64, 96, 52), (8, 128, 48, 52), (8, 64, 48, 52), (4, 64, 64, 53), (8, 64, -1, 53), (8, 128, -1, 53), (4, 128, 72, 53), (4, 64, 80, 53)]",,,
7,1,32,128,65536,0.00390625,48.4,31.5,1.537,"[(8, 128, 152, 31), (8, 128, 136, 31), (8, 128, 168, 31), (4, 64, 136, 31), (8, 128, 144, 31), (8, 128, 160, 31), (4, 64, 144, 31), (8, 64, 136, 32), (8, 64, 144, 32), (4, 128, 136, 33)]",,,
7,2,32,128,65536,0.00390625,91.3,52.8,1.73,"[(4, 64, 72, 52), (4, 64, 104, 53), (8, 128, 64, 53), (4, 64, 112, 53), (4, 128, 64, 54), (8, 64, 72, 55), (2, 64, 104, 56), (2, 64, 112, 56), (4, 64, 216, 56), (4, 64, 464, 56)]",,,
8,1,32,128,65536,0.00390625,55.6,37.4,1.486,"[(4, 128, 128, 37), (8, 128, 480, 39), (8, 128, 80, 39), (4, 64, 152, 40), (4, 64, 120, 40), (4, 64, 104, 40), (8, 64, 112, 40), (8, 64, 104, 40), (8, 64, 120, 40), (4, 64, 80, 40)]",,,
8,2,32,128,65536,0.00390625,102.4,47.3,2.165,"[(4, 64, 88, 47), (8, 128, 56, 47), (4, 64, 96, 48), (8, 64, 56, 49), (8, 128, 32, 49), (4, 64, 56, 49), (8, 128, 64, 49), (4, 64, 64, 50), (4, 64, 80, 50), (4, 64, 72, 50)]",,,
9,1,32,128,65536,0.00390625,60.2,35.3,1.704,"[(8, 128, 64, 35), (2, 64, 168, 36), (4, 64, 168, 37), (4, 64, 160, 37), (4, 64, 152, 38), (8, 64, 56, 39), (2, 64, 152, 39), (2, 64, 160, 39), (8, 64, 160, 41), (4, 128, 64, 41)]",,,
9,2,32,128,65536,0.00390625,138.6,62.9,2.205,"[(4, 64, 80, 62), (4, 64, 72, 63), (8, 128, 24, 64), (4, 64, 304, 65), (4, 64, 288, 65), (4, 64, 296, 65), (4, 64, 272, 66), (2, 64, 80, 67), (4, 64, 336, 67), (4, 64, 320, 67)]",,,
10,1,32,128,65536,0.00390625,61.5,40.1,1.532,"[(8, 128, 56, 40), (8, 128, 80, 41), (4, 128, 80, 42), (8, 256, 32, 43), (4, 64, 88, 44), (8, 128, 240, 44), (8, 128, 224, 44), (8, 128, 216, 44), (8, 128, 232, 45), (4, 64, 120, 45)]",,,
10,2,32,128,65536,0.00390625,119.8,66.4,1.803,"[(4, 64, 64, 66), (8, 64, 64, 69), (4, 64, 56, 70), (2, 64, 64, 72), (8, 64, 40, 72), (4, 64, 40, 73), (8, 128, -1, 73), (8, 64, 96, 74), (4, 64, 328, 75), (8, 128, 24, 75)]",,,
11,1,32,128,65536,0.00390625,72.8,42.4,1.719,"[(8, 64, 80, 42), (4, 64, 144, 43), (4, 64, 80, 43), (4, 64, 136, 44), (2, 64, 136, 45), (8, 128, 192, 45), (8, 128, 232, 45), (8, 128, 184, 45), (2, 64, 144, 45), (8, 128, 240, 45)]",,,
11,2,32,128,65536,0.00390625,168.5,69.6,2.422,"[(4, 64, 40, 69), (8, 64, 40, 69), (8, 128, 40, 71), (4, 128, 40, 72), (4, 64, 136, 72), (4, 64, 144, 73), (8, 64, 88, 76), (8, 64, 80, 76), (4, 64, 48, 77), (8, 128, 168, 77)]",,,
12,1,32,128,65536,0.00390625,81.1,49.9,1.624,"[(4, 64, 96, 49), (4, 64, 240, 51), (4, 64, 248, 51), (4, 64, 80, 51), (4, 64, 72, 51), (8, 64, 72, 52), (8, 128, -1, 52), (8, 128, 48, 52), (4, 64, 408, 52), (4, 64, 432, 52)]",,,
12,2,32,128,65536,0.00390625,166.8,85.0,1.962,"[(8, 128, 24, 85), (4, 64, 48, 85), (4, 64, 40, 86), (4, 64, 32, 86), (4, 64, -1, 87), (8, 64, 24, 87), (8, 64, 32, 87), (2, 64, 64, 88), (4, 128, -1, 89), (4, 128, 32, 89)]",,,
13,1,32,128,65536,0.00390625,87.7,43.8,2.001,"[(4, 64, 112, 43), (4, 64, 104, 44), (8, 128, 112, 47), (8, 128, 104, 47), (8, 128, 120, 47), (8, 128, 128, 47), (8, 128, 64, 48), (2, 64, 104, 48), (2, 64, 112, 48), (4, 128, 64, 49)]",,,
13,2,32,128,65536,0.00390625,176.6,75.3,2.345,"[(8, 128, -1, 75), (4, 64, 48, 79), (8, 128, 56, 80), (4, 128, -1, 81), (8, 128, 64, 84), (8, 64, -1, 85), (8, 128, 80, 85), (8, 128, 48, 86), (4, 64, 96, 86), (8, 128, 120, 87)]",,,
14,1,32,128,65536,0.00390625,90.1,46.5,1.938,"[(8, 128, 40, 46), (8, 64, 40, 46), (4, 64, 88, 50), (8, 64, 64, 51), (8, 128, 152, 52), (8, 128, 136, 52), (8, 128, 144, 52), (8, 128, 160, 52), (8, 128, 168, 52), (8, 64, 88, 53)]",,,
14,2,32,128,65536,0.00390625,169.8,84.5,2.009,"[(4, 64, 40, 84), (8, 64, 40, 88), (4, 64, 32, 91), (8, 128, -1, 91), (8, 64, 32, 91), (4, 64, 80, 95), (8, 64, -1, 97), (8, 64, 80, 97), (8, 128, 40, 97), (4, 64, 112, 98)]",,,
15,1,32,128,65536,0.00390625,89.0,54.5,1.633,"[(4, 64, 80, 54), (8, 128, 136, 54), (8, 64, 136, 55), (4, 64, 200, 55), (4, 64, 136, 55), (4, 64, 144, 55), (4, 64, 184, 55), (8, 64, 144, 55), (8, 128, 152, 56), (8, 64, 80, 56)]",,,
15,2,32,128,65536,0.00390625,179.0,89.9,1.991,"[(8, 128, 24, 89), (4, 64, 40, 94), (8, 64, 40, 95), (8, 128, 64, 95), (8, 64, 24, 95), (8, 64, 72, 98), (4, 64, 24, 99), (8, 128, 40, 99), (8, 128, -1, 99), (8, 128, 16, 99)]",,,
16,1,32,128,65536,0.00390625,104.7,61.1,1.714,"[(4, 64, 56, 61), (4, 64, 72, 61), (8, 128, 32, 62), (8, 64, 56, 62), (4, 64, 88, 63), (4, 64, 48, 63), (4, 64, 64, 63), (4, 64, 40, 63), (4, 64, -1, 63), (4, 64, 200, 64)]",,,
16,2,32,128,65536,0.00390625,215.3,74.9,2.873,"[(4, 64, 48, 74), (8, 128, -1, 78), (8, 128, 24, 78), (4, 64, 40, 79), (4, 64, 88, 81), (8, 128, 64, 81), (8, 64, 32, 81), (8, 128, 48, 82), (4, 64, 80, 82), (4, 64, 32, 82)]",,,
