batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,9.0,12.3,0.734,8,128,496
1,2,32,128,65536,0.00390625,12.0,12.8,0.942,8,128,384
2,1,32,128,65536,0.00390625,14.3,16.6,0.866,4,64,880
2,2,32,128,65536,0.00390625,30.9,23.5,1.318,8,64,168
3,1,32,128,65536,0.00390625,28.4,20.5,1.383,8,128,368
3,2,32,128,65536,0.00390625,43.5,31.3,1.391,8,64,200
4,1,32,128,65536,0.00390625,30.9,23.9,1.293,8,64,208
4,2,32,128,65536,0.00390625,59.3,38.7,1.532,4,64,512
5,1,32,128,65536,0.00390625,40.8,27.4,1.486,8,64,200
5,2,32,128,65536,0.00390625,69.4,42.1,1.647,4,64,120
6,1,32,128,65536,0.00390625,46.7,29.6,1.581,4,64,120
6,2,32,128,65536,0.00390625,81.6,51.5,1.586,8,128,40
7,1,32,128,65536,0.00390625,48.4,31.5,1.537,8,128,152
7,2,32,128,65536,0.00390625,91.3,52.8,1.73,4,64,72
8,1,32,128,65536,0.00390625,55.6,37.4,1.486,4,128,128
8,2,32,128,65536,0.00390625,102.4,47.3,2.165,4,64,88
9,1,32,128,65536,0.00390625,60.2,35.3,1.704,8,128,64
9,2,32,128,65536,0.00390625,138.6,62.9,2.205,4,64,80
10,1,32,128,65536,0.00390625,61.5,40.1,1.532,8,128,56
10,2,32,128,65536,0.00390625,119.8,66.4,1.803,4,64,64
11,1,32,128,65536,0.00390625,72.8,42.4,1.719,8,64,80
11,2,32,128,65536,0.00390625,168.5,69.6,2.422,4,64,40
12,1,32,128,65536,0.00390625,81.1,49.9,1.624,4,64,96
12,2,32,128,65536,0.00390625,166.8,85.0,1.962,8,128,24
13,1,32,128,65536,0.00390625,87.7,43.8,2.001,4,64,112
13,2,32,128,65536,0.00390625,176.6,75.3,2.345,8,128,-1
14,1,32,128,65536,0.00390625,90.1,46.5,1.938,8,128,40
14,2,32,128,65536,0.00390625,169.8,84.5,2.009,4,64,40
15,1,32,128,65536,0.00390625,89.0,54.5,1.633,4,64,80
15,2,32,128,65536,0.00390625,179.0,89.9,1.991,8,128,24
16,1,32,128,65536,0.00390625,104.7,61.1,1.714,4,64,56
16,2,32,128,65536,0.00390625,215.3,74.9,2.873,4,64,48
