batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
130,1,32,128,65536,0.00390625,859.3,318.1,2.701,8,128,32
138,1,32,128,65536,0.00390625,882.4,344.1,2.564,8,128,32
146,1,32,128,65536,0.00390625,916.4,329.1,2.785,8,128,24
154,1,32,128,65536,0.00390625,996.2,369.5,2.696,8,128,24
162,1,32,128,65536,0.00390625,997.1,397.1,2.511,8,128,24
170,1,32,128,65536,0.00390625,1053.5,416.9,2.527,8,128,24
178,1,32,128,65536,0.00390625,1045.9,402.3,2.6,8,128,24
186,1,32,128,65536,0.00390625,1193.2,444.9,2.682,4,64,32
194,1,32,128,65536,0.00390625,1221.9,453.2,2.696,4,64,32
202,1,32,128,65536,0.00390625,1215.4,509.5,2.385,8,64,24
210,1,32,128,65536,0.00390625,1243.0,479.1,2.594,8,128,24
218,1,32,128,65536,0.00390625,1348.1,507.7,2.655,8,128,24
226,1,32,128,65536,0.00390625,1339.2,493.5,2.714,8,128,24
234,1,32,128,65536,0.00390625,1396.7,541.6,2.579,8,128,32
