batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
134,1,32,128,65536,0.00390625,874.1,340.0,2.571,"[(8, 128, 4, 339), (4, 128, 4, 356), (8, 64, 4, 361), (4, 64, 80, 373), (2, 64, 80, 376), (8, 64, 80, 381), (4, 64, 4, 389), (2, 64, 88, 392), (4, 64, 88, 395), (8, 128, -1, 398)]"
142,1,32,128,65536,0.00390625,896.0,363.7,2.464,"[(8, 128, 4, 363), (4, 128, 4, 375), (8, 64, 4, 385), (4, 64, 72, 398), (8, 64, 72, 400), (4, 64, 4, 406), (2, 64, 72, 406), (8, 128, 24, 410), (8, 128, -1, 411), (4, 128, 24, 418)]"
150,1,32,128,65536,0.00390625,934.4,321.0,2.911,"[(8, 128, 4, 320), (4, 128, 4, 352), (8, 64, 4, 378), (4, 64, 4, 399), (8, 128, -1, 407), (4, 128, -1, 416), (4, 64, 72, 418), (8, 64, 72, 418), (2, 64, 72, 433), (2, 128, 4, 435)]"
158,1,32,128,65536,0.00390625,983.5,437.0,2.25,"[(2, 64, 72, 437), (4, 64, 72, 437), (8, 128, 24, 439), (4, 128, 24, 440), (8, 64, 72, 447), (8, 128, -1, 454), (4, 64, 4, 458), (4, 128, -1, 461), (8, 64, 4, 463), (4, 64, 24, 468)]"
166,1,32,128,65536,0.00390625,980.4,392.2,2.5,"[(8, 128, -1, 392), (4, 128, -1, 403), (4, 64, 4, 431), (8, 64, 4, 438), (4, 64, -1, 484), (2, 128, -1, 485), (8, 64, -1, 488), (2, 64, 72, 489), (8, 64, 72, 491), (4, 64, 72, 492)]"
174,1,32,128,65536,0.00390625,1032.9,451.4,2.288,"[(8, 128, -1, 451), (4, 128, -1, 464), (4, 64, 4, 465), (8, 64, 4, 485), (4, 64, 88, 496), (2, 64, 32, 498), (8, 64, 88, 498), (4, 128, 32, 499), (2, 64, 88, 502), (4, 64, 80, 502)]"
182,1,32,128,65536,0.00390625,1055.1,469.6,2.247,"[(4, 64, 4, 469), (8, 128, -1, 485), (4, 128, -1, 486), (8, 64, 4, 487), (4, 64, -1, 520), (4, 64, 32, 523), (8, 128, 4, 526), (2, 64, -1, 527), (2, 64, 32, 527), (8, 64, 32, 544)]"
190,1,32,128,65536,0.00390625,1172.2,477.1,2.457,"[(4, 64, 4, 477), (8, 64, 4, 493), (4, 64, -1, 525), (2, 64, -1, 529), (8, 128, 4, 537), (4, 128, -1, 541), (8, 128, -1, 546), (8, 64, -1, 556), (2, 64, 4, 556), (8, 128, 8, 562)]"
198,1,32,128,65536,0.00390625,1235.7,487.7,2.534,"[(4, 64, 4, 487), (8, 64, 4, 511), (8, 128, 4, 528), (8, 128, -1, 534), (4, 64, -1, 548), (2, 64, -1, 551), (4, 128, -1, 553), (2, 64, 4, 565), (8, 64, -1, 582), (2, 64, 80, 585)]"
206,1,32,128,65536,0.00390625,1230.7,488.8,2.518,"[(4, 64, 4, 488), (8, 64, 4, 507), (8, 128, 4, 545), (8, 128, -1, 547), (2, 64, -1, 550), (4, 64, -1, 558), (4, 128, -1, 560), (2, 64, 4, 570), (4, 128, 4, 591), (8, 64, -1, 595)]"
214,1,32,128,65536,0.00390625,1313.1,526.5,2.494,"[(8, 64, 4, 526), (4, 64, 4, 530), (8, 128, 4, 594), (2, 64, 4, 596), (2, 64, -1, 597), (4, 64, -1, 621), (2, 64, 32, 631), (4, 128, -1, 636), (8, 128, -1, 640), (4, 128, 4, 651)]"
222,1,32,128,65536,0.00390625,1324.2,493.5,2.683,"[(4, 64, 4, 493), (8, 64, 4, 503), (8, 128, 4, 549), (8, 128, -1, 564), (4, 128, -1, 570), (2, 64, 4, 582), (2, 64, -1, 583), (4, 128, 4, 599), (4, 64, -1, 604), (4, 64, 80, 641)]"
230,1,32,128,65536,0.00390625,1355.0,542.8,2.497,"[(4, 64, 4, 542), (8, 64, 4, 553), (8, 128, 4, 574), (2, 64, -1, 605), (8, 128, -1, 616), (2, 64, 4, 621), (4, 128, 4, 624), (4, 128, -1, 627), (4, 64, -1, 641), (8, 64, -1, 693)]"
