batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,top_configs
6,1,32,128,65536,0.00390625,46.9,31.2,1.504,"[(8, 256, 48, 31), (2, 64, -1, 31), (4, 64, 952, 31), (4, 64, 776, 31), (4, 64, 960, 32), (4, 64, 936, 32), (4, 64, 768, 32), (4, 64, 928, 32), (4, 64, 760, 32), (8, 128, 88, 32)]"
6,2,32,128,65536,0.00390625,82.0,50.8,1.614,"[(2, 64, -1, 50), (4, 64, 64, 51), (4, 64, -1, 52), (8, 64, -1, 52), (4, 64, 72, 52), (8, 64, 72, 52), (2, 64, 64, 52), (8, 64, 48, 52), (4, 64, 48, 52), (8, 128, -1, 52)]"
14,1,32,128,65536,0.00390625,90.3,43.2,2.092,"[(4, 128, 40, 43), (8, 128, 40, 44), (2, 64, 88, 44), (8, 64, 40, 45), (4, 64, 88, 46), (4, 64, 40, 47), (8, 64, 88, 48), (8, 128, 96, 52), (4, 64, 144, 52), (8, 128, 88, 52)]"
14,2,32,128,65536,0.00390625,167.8,92.3,1.819,"[(4, 128, -1, 92), (8, 64, -1, 93), (2, 64, 32, 93), (4, 64, 32, 94), (4, 64, -1, 94), (4, 64, 128, 94), (2, 64, 40, 95), (8, 128, 40, 95), (4, 64, 120, 96), (8, 128, -1, 96)]"
22,1,32,128,65536,0.00390625,158.6,62.5,2.537,"[(8, 64, 40, 62), (4, 64, 40, 63), (8, 128, 40, 65), (8, 64, 88, 66), (4, 64, 88, 66), (2, 64, 40, 68), (2, 64, 88, 70), (8, 128, 96, 75), (4, 128, 40, 76), (4, 64, 32, 76)]"
22,2,32,128,65536,0.00390625,257.6,134.7,1.912,"[(4, 128, 24, 134), (8, 128, 24, 137), (8, 128, 40, 140), (4, 128, 40, 140), (4, 64, -1, 143), (4, 64, 72, 145), (2, 64, 72, 145), (2, 64, -1, 146), (8, 64, -1, 146), (4, 64, 80, 146)]"
30,1,32,128,65536,0.00390625,170.7,68.4,2.496,"[(4, 64, 40, 68), (8, 64, 40, 69), (2, 64, 40, 73), (8, 128, 40, 76), (4, 128, 40, 80), (4, 64, 144, 94), (4, 64, 136, 95), (2, 128, 40, 97), (8, 64, -1, 98), (4, 64, -1, 98)]"
30,2,32,128,65536,0.00390625,335.3,192.2,1.744,"[(8, 128, 8, 192), (4, 64, 40, 192), (2, 64, 40, 192), (4, 128, -1, 193), (8, 64, 40, 195), (8, 64, -1, 195), (4, 64, -1, 197), (2, 64, 72, 198), (4, 128, 40, 198), (2, 64, 80, 198)]"
38,1,32,128,65536,0.00390625,242.7,111.3,2.18,"[(8, 128, 40, 111), (4, 64, 88, 117), (4, 128, 40, 119), (2, 64, 88, 120), (8, 64, 88, 121), (4, 128, 72, 125), (2, 64, 64, 125), (4, 64, 64, 125), (8, 128, 72, 126), (2, 64, -1, 126)]"
38,2,32,128,65536,0.00390625,468.0,227.8,2.055,"[(4, 128, 24, 227), (8, 128, 24, 236), (2, 64, 40, 238), (2, 64, 32, 240), (8, 64, 8, 244), (4, 64, 40, 246), (4, 64, 8, 246), (2, 64, 24, 247), (8, 64, 40, 248), (4, 64, 192, 248)]"
