batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
1,1,32,128,65536,0.00390625,10.2,10.4,0.98,2,64,-1
1,2,32,128,65536,0.00390625,14.5,14.9,0.97,2,64,-1
2,1,32,128,65536,0.00390625,12.1,14.8,0.818,8,256,200
2,2,32,128,65536,0.00390625,32.5,24.3,1.338,2,64,-1
3,1,32,128,65536,0.00390625,27.6,19.1,1.447,8,128,88
3,2,32,128,65536,0.00390625,46.4,31.2,1.488,2,64,-1
4,1,32,128,65536,0.00390625,31.1,22.3,1.391,8,128,-1
4,2,32,128,65536,0.00390625,58.1,37.8,1.537,4,64,432
5,1,32,128,65536,0.00390625,40.9,23.1,1.773,8,128,104
5,2,32,128,65536,0.00390625,70.5,42,1.679,8,128,64
6,1,32,128,65536,0.00390625,46.9,31.2,1.504,8,256,48
6,2,32,128,65536,0.00390625,82,50.8,1.614,2,64,-1
7,1,32,128,65536,0.00390625,46.8,32.9,1.422,8,256,48
7,2,32,128,65536,0.00390625,90.4,51.9,1.742,4,64,72
8,1,32,128,65536,0.00390625,59.6,38.1,1.565,2,64,-1
8,2,32,128,65536,0.00390625,101.1,47.1,2.147,4,64,72
9,1,32,128,65536,0.00390625,62.3,33.1,1.884,8,128,64
9,2,32,128,65536,0.00390625,137.4,59.8,2.297,8,128,24
10,1,32,128,65536,0.00390625,62.9,41.2,1.527,8,128,56
10,2,32,128,65536,0.00390625,114.2,69.4,1.646,4,64,-1
11,1,32,128,65536,0.00390625,72.3,37.3,1.938,4,64,80
11,2,32,128,65536,0.00390625,166.3,70.4,2.363,8,128,48
12,1,32,128,65536,0.00390625,77,49.9,1.541,4,64,168
12,2,32,128,65536,0.00390625,167.4,85.7,1.954,4,64,32
13,1,32,128,65536,0.00390625,81.2,48,1.693,8,128,112
13,2,32,128,65536,0.00390625,173.4,83,2.089,8,128,64
14,1,32,128,65536,0.00390625,90.3,43.2,2.092,4,128,40
14,2,32,128,65536,0.00390625,167.8,92.3,1.819,4,128,-1
15,1,32,128,65536,0.00390625,86.1,46.9,1.837,4,64,144
15,2,32,128,65536,0.00390625,176.4,86,2.05,8,128,40
16,1,32,128,65536,0.00390625,99.4,62.4,1.594,4,64,-1
16,2,32,128,65536,0.00390625,213.8,76.4,2.799,8,64,32
17,1,32,128,65536,0.00390625,131.6,51.4,2.561,8,128,64
17,2,32,128,65536,0.00390625,238,99.5,2.392,4,64,72
18,1,32,128,65536,0.00390625,134.7,62.4,2.159,4,64,40
18,2,32,128,65536,0.00390625,241.1,116.7,2.067,8,128,24
19,1,32,128,65536,0.00390625,135,58.1,2.324,4,64,184
19,2,32,128,65536,0.00390625,248,112,2.213,8,128,40
20,1,32,128,65536,0.00390625,121.2,65.6,1.847,4,64,32
20,2,32,128,65536,0.00390625,241.2,120.9,1.995,8,64,-1
21,1,32,128,65536,0.00390625,132.9,57.3,2.319,4,64,104
21,2,32,128,65536,0.00390625,255.3,125.6,2.032,8,128,64
22,1,32,128,65536,0.00390625,158.6,62.5,2.537,8,64,40
22,2,32,128,65536,0.00390625,257.6,134.7,1.912,4,128,24
23,1,32,128,65536,0.00390625,171.7,74.3,2.311,4,64,144
23,2,32,128,65536,0.00390625,284.7,125.7,2.266,8,128,24
24,1,32,128,65536,0.00390625,169,85.8,1.97,4,64,24
24,2,32,128,65536,0.00390625,278.4,103.5,2.689,4,64,24
25,1,32,128,65536,0.00390625,170.7,74.1,2.304,8,128,64
25,2,32,128,65536,0.00390625,305.6,137.5,2.223,8,128,24
26,1,32,128,65536,0.00390625,159.5,77.2,2.067,4,64,40
26,2,32,128,65536,0.00390625,309.7,152,2.038,2,64,40
27,1,32,128,65536,0.00390625,176.3,67.2,2.623,4,64,80
27,2,32,128,65536,0.00390625,318.5,150.9,2.111,2,64,40
28,1,32,128,65536,0.00390625,156.6,83.6,1.873,8,128,-1
28,2,32,128,65536,0.00390625,317.2,170.1,1.866,4,128,-1
29,1,32,128,65536,0.00390625,171,75.6,2.262,4,64,104
29,2,32,128,65536,0.00390625,326.6,177,1.846,4,64,16
30,1,32,128,65536,0.00390625,170.7,68.4,2.496,4,64,40
